Cambodia,Cameroon,Côte d'Ivoire,Mozambique,Sierra Leone,Uganda,Zambia
15 (8 to 22),15 (8 to 22),15 (8 to 22),15 (8 to 22),15 (8 to 22),15 (8 to 22),15 (8 to 22)
63 (53 to 72),63 (53 to 72),63 (53 to 72),63 (53 to 72),63 (53 to 72),63 (53 to 72),63 (53 to 72)
44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54),44 (34 to 54)
36 (27 to 45),36 (27 to 45),36 (27 to 45),36 (27 to 45),36 (27 to 45),36 (27 to 45),36 (27 to 45)
12 (5 to 20),12 (5 to 20),12 (5 to 20),12 (5 to 20),12 (5 to 20),12 (5 to 20),12 (5 to 20)
55 (45 to 66),55 (45 to 66),55 (45 to 66),55 (45 to 66),55 (45 to 66),55 (45 to 66),55 (45 to 66)
32 (22 to 42),32 (22 to 42),32 (22 to 42),32 (22 to 42),32 (22 to 42),32 (22 to 42),32 (22 to 42)
23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32),23 (14 to 32)
75 (53 to 94),75 (53 to 94),75 (53 to 94),75 (53 to 94),75 (53 to 94),75 (53 to 94),75 (53 to 94)
7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21),7 (0 to 21)
6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20),6 (0 to 20)
13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31),13 (0 to 31)
48 (36 to 59),48 (36 to 59),48 (36 to 59),48 (36 to 59),48 (36 to 59),48 (36 to 59),48 (36 to 59)
29 (17 to 40),29 (17 to 40),29 (17 to 40),29 (17 to 40),29 (17 to 40),29 (17 to 40),29 (17 to 40)
21 (10 to 32),21 (10 to 32),21 (10 to 32),21 (10 to 32),21 (10 to 32),21 (10 to 32),21 (10 to 32)
-19 (-30 to -8),-19 (-30 to -8),-19 (-30 to -8),-19 (-30 to -8),-19 (-30 to -8),-19 (-30 to -8),-19 (-30 to -8)
-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17),-27 (-38 to -17)
-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3),-8 (-14 to -3)
19 (16 to 23),19 (16 to 22),19 (15 to 22),19 (15 to 23),19 (15 to 22),19 (15 to 23),19 (16 to 23)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14),12 (11 to 14)
13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15),13 (12 to 15)
-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3)
-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3),-7 (-10 to -3)
-6 (-10 to -3),-6 (-10 to -3),-6 (-9 to -3),-6 (-9 to -3),-6 (-10 to -3),-6 (-10 to -3),-6 (-10 to -3)
0 (-1 to 1),0 (-2 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1),0 (-1 to 1)
1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2),1 (-1 to 2)
1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2),1 (0 to 2)
461 (211 to 711),415 (203 to 641),403 (187 to 618),433 (211 to 678),395 (188 to 609),440 (216 to 685),439 (205 to 688)
466 (229 to 715),420 (217 to 647),409 (200 to 630),438 (216 to 680),400 (198 to 629),445 (225 to 698),444 (210 to 692)
420 (180 to 673),379 (168 to 611),368 (164 to 584),395 (177 to 624),360 (162 to 579),400 (183 to 647),400 (173 to 638)
5 (-82 to 102),5 (-73 to 96),6 (-70 to 86),5 (-77 to 91),5 (-70 to 85),5 (-76 to 93),5 (-76 to 95)
-41 (-165 to 65),-36 (-150 to 59),-34 (-140 to 60),-39 (-157 to 59),-35 (-141 to 59),-39 (-161 to 58),-39 (-163 to 62)
-46 (-138 to 0),-42 (-128 to 0),-40 (-123 to 0),-43 (-141 to 0),-39 (-128 to 0),-45 (-139 to 0),-45 (-142 to 0)
185 (85 to 285),173 (84 to 266),170 (79 to 261),178 (86 to 278),167 (79 to 257),179 (88 to 279),179 (84 to 281)
