Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
29 (23 to 35),29 (23 to 35)
49 (43 to 55),49 (43 to 55)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (97 to 100),98 (97 to 100)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (0 to 3),2 (0 to 3)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
16 (12 to 21),16 (12 to 21)
43 (37 to 49),43 (37 to 49)
26 (15 to 37),26 (15 to 37)
92 (84 to 98),92 (84 to 98)
82 (70 to 91),82 (70 to 91)
76 (64 to 87),76 (64 to 87)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
84 (79 to 88),84 (79 to 88)
57 (51 to 63),57 (51 to 63)
74 (63 to 85),74 (63 to 85)
8 (2 to 16),8 (2 to 16)
18 (9 to 30),18 (9 to 30)
24 (13 to 36),24 (13 to 36)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
70 (64 to 75),70 (64 to 75)
74 (69 to 79),74 (69 to 79)
2 (0 to 3),2 (0 to 3)
21 (17 to 25),21 (17 to 25)
14 (10 to 18),14 (10 to 18)
8 (5 to 12),8 (5 to 12)
20 (13 to 27),20 (13 to 27)
14 (7 to 21),14 (7 to 21)
34 (27 to 40),34 (27 to 40)
-6 (-9 to -4),-6 (-9 to -4)
14 (8 to 21),14 (8 to 21)
20 (14 to 27),20 (14 to 27)
19 (16 to 21),19 (16 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 15),13 (12 to 14)
14 (13 to 15),14 (13 to 15)
-6 (-9 to -4),-6 (-9 to -4)
-5 (-8 to -3),-5 (-8 to -3)
-5 (-7 to -3),-5 (-7 to -3)
1 (0 to 2),1 (0 to 2)
1 (0 to 3),1 (0 to 3)
1 (-1 to 2),1 (-1 to 2)
-1245 (-1403 to -1093),-1243 (-1397 to -1090)
-829 (-883 to -786),-827 (-881 to -785)
-892 (-971 to -828),-890 (-966 to -825)
-927 (-1017 to -854),-925 (-1013 to -855)
416 (266 to 586),416 (263 to 574)
353 (215 to 504),353 (211 to 502)
318 (182 to 472),318 (183 to 472)
-63 (-124 to -13),-63 (-124 to -13)
-98 (-186 to -22),-98 (-190 to -23)
-35 (-117 to 44),-35 (-118 to 44)
-508 (-572 to -446),-508 (-571 to -446)
-338 (-360 to -321),-338 (-360 to -321)
-364 (-396 to -338),-364 (-395 to -337)
-378 (-415 to -348),-378 (-414 to -350)
170 (109 to 239),170 (108 to 235)
144 (88 to 206),144 (86 to 205)
130 (74 to 193),130 (75 to 193)
-26 (-51 to -5),-26 (-51 to -5)
-40 (-76 to -9),-40 (-78 to -9)
-14 (-48 to 18),-14 (-48 to 18)
33 (30 to 37),39 (34 to 43)
108 (104 to 112),125 (120 to 129)
82 (76 to 88),94 (87 to 102)
85 (79 to 91),97 (90 to 104)
75 (69 to 79),86 (80 to 92)
48 (41 to 56),55 (47 to 64)
52 (44 to 59),59 (50 to 67)
-26 (-32 to -20),-31 (-37 to -24)
-23 (-29 to -16),-27 (-35 to -19)
4 (-4 to 12),3 (-5 to 13)
17.91,20.67
13.71,15.7
16.32,18.5
41.42,48.5
23.07,27.73
-10.05,-9.92
43.9,50.57
33.61,38.41
40,45.26
101.55,118.63
56.55,67.84
-24.63,-24.27
