Uganda,Zambia
15 (11 to 19),15 (11 to 19)
35 (29 to 41),35 (29 to 41)
30 (24 to 36),30 (24 to 36)
58 (53 to 63),58 (53 to 63)
99 (98 to 100),99 (98 to 100)
97 (95 to 99),97 (95 to 99)
97 (95 to 99),97 (95 to 99)
98 (96 to 99),98 (96 to 99)
1 (0 to 2),1 (0 to 2)
3 (1 to 5),3 (1 to 5)
3 (1 to 5),3 (1 to 5)
2 (1 to 4),2 (1 to 4)
13 (9 to 17),13 (9 to 17)
22 (17 to 27),22 (17 to 27)
17 (12 to 22),17 (12 to 22)
50 (44 to 56),50 (44 to 56)
25 (13 to 37),25 (13 to 37)
92 (84 to 98),92 (84 to 98)
86 (76 to 94),86 (76 to 94)
92 (83 to 98),92 (83 to 98)
87 (83 to 91),87 (83 to 91)
78 (73 to 83),78 (73 to 83)
83 (78 to 88),83 (78 to 88)
50 (44 to 56),50 (44 to 56)
75 (63 to 87),75 (63 to 87)
8 (2 to 16),8 (2 to 16)
14 (6 to 24),14 (6 to 24)
8 (2 to 17),8 (2 to 17)
19 (15 to 23),19 (15 to 23)
100 (100 to 100),100 (100 to 100)
73 (68 to 78),73 (68 to 78)
91 (88 to 95),91 (88 to 95)
2 (1 to 4),2 (1 to 4)
21 (16 to 25),21 (16 to 25)
14 (11 to 18),14 (11 to 18)
11 (8 to 15),11 (8 to 15)
20 (14 to 27),20 (14 to 27)
15 (8 to 21),15 (8 to 21)
43 (36 to 50),43 (36 to 50)
-6 (-8 to -3),-6 (-8 to -3)
23 (16 to 29),23 (16 to 29)
28 (22 to 34),28 (22 to 34)
19 (17 to 21),19 (17 to 21)
12 (12 to 13),12 (12 to 13)
13 (12 to 14),13 (12 to 14)
12 (12 to 13),12 (12 to 13)
-6 (-9 to -4),-6 (-9 to -4)
-6 (-8 to -4),-6 (-8 to -4)
-6 (-9 to -4),-6 (-9 to -4)
1 (0 to 1),1 (0 to 1)
0 (-1 to 1),0 (-1 to 1)
-1 (-2 to 0),-1 (-2 to 0)
-1255 (-1412 to -1112),-1252 (-1417 to -1110)
-827 (-882 to -785),-824 (-878 to -781)
-869 (-934 to -811),-867 (-939 to -809)
-830 (-886 to -786),-827 (-885 to -786)
428 (286 to 589),428 (287 to 585)
386 (245 to 539),385 (248 to 536)
425 (277 to 585),425 (278 to 586)
-43 (-95 to -5),-43 (-95 to -7)
-3 (-59 to 51),-3 (-56 to 48)
39 (-27 to 103),40 (-22 to 104)
-512 (-576 to -454),-512 (-579 to -454)
-337 (-360 to -320),-337 (-359 to -319)
-355 (-381 to -331),-355 (-384 to -331)
-339 (-361 to -321),-338 (-362 to -321)
175 (117 to 240),175 (117 to 239)
157 (100 to 220),157 (101 to 219)
173 (113 to 239),174 (113 to 240)
-17 (-39 to -2),-17 (-39 to -3)
-1 (-24 to 21),-1 (-23 to 20)
16 (-11 to 42),16 (-9 to 42)
32 (29 to 36),37 (33 to 42)
108 (104 to 111),125 (120 to 129)
85 (79 to 91),98 (91 to 105)
105 (100 to 109),120 (114 to 125)
76 (71 to 81),87 (82 to 93)
53 (46 to 60),61 (52 to 68)
73 (67 to 79),83 (76 to 89)
-23 (-29 to -18),-27 (-33 to -21)
-3 (-8 to 1),-5 (-10 to 0)
20 (13 to 27),22 (14 to 30)
17.67,20.44
13.68,15.71
17.08,19.44
53.55,63.02
89.35,160.08
50.4,55.57
43.31,50.01
33.55,38.44
41.87,47.55
131.28,154.14
219.05,391.56
123.56,135.93
